#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 16, 15, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.166.33.17, abts-kk-static-017.33.166.122.airtelbroadband.in, 16, 15, 0, 
3, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 16, 2131, 1738, 
4, India, New Delhi, 28.600006, 77.20001, 182.79.205.79, (None), 31, 375, 0,
5, India, New Delhi, 28.600006, 77.20001, 182.79.208.34, (None), 15, 1161, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.175.220, (None), 62, 188, 0,
7, India, New Delhi, 28.600006, 77.20001, 182.79.177.69, (None), 125, 1750, 0,
8, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 32, 2247, 12418, 
9, United States, Mountain View, 37.419205, -122.0574, 216.239.63.213, (None), 62, 684, 0,
10, United States, Mountain View, 37.419205, -122.0574, 216.239.63.96, (None), 267, 1230, 0,
11, United States, Mountain View, 37.419205, -122.0574, 216.239.54.52, (None), 65, 1737, 0,
12, United States, Mountain View, 37.419205, -122.0574, 209.85.251.138, (None), 82, 1605, 0,
13, United States, Mountain View, 37.419205, -122.0574, 72.14.232.71, (None), 16, 2003, 0, 
14, United States, Mountain View, 37.419205, -122.0574, 216.239.58.255, (None), 16, 365, 0,
15, United States, Mountain View, 37.419205, -122.0574, 216.239.58.12, (None), 16, 1218, 0,
16, United States, Mountain View, 37.419205, -122.0574, 209.85.253.184, (None), 16, 2069, 0,
17, United States, Mountain View, 37.419205, -122.0574, 209.85.252.215, (None), 16, 125, 0,
18, United States, Alameda, 37.7735, -122.2788, 74.125.252.149, (None), 50, 1895, 44, 
19, United States, Mountain View, 37.419205, -122.0574, 74.125.173.137, (None), 63, 902, 44, 
