#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 16, 15, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 32, 390, 0, 
3, India, Bangalore, 12.983307, 77.58331, 122.166.33.17, abts-kk-static-017.33.166.122.airtelbroadband.in, 16, 0, 0, 
4, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 16, 1539, 1738, 
5, India, New Delhi, 28.600006, 77.20001, 182.79.176.230, (None), 31, 234, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.153.141, (None), 32, 406, 0,
7, India, New Delhi, 28.600006, 77.20001, 182.79.175.208, (None), 31, 1127, 0,
8, India, New Delhi, 28.600006, 77.20001, 182.79.198.5, (None), 16, 1476, 0,
9, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 95, 1906, 12418, 
10, United States, Mountain View, 37.419205, -122.0574, 209.85.248.251, (None), 156, 1990, 0,
11, United States, Alameda, 37.7735, -122.2788, 74.125.242.146, (None), 0, 94, 44, 
12, United States, Mountain View, 37.419205, -122.0574, 66.249.94.74, (None), 15, 1927, 44, 
13, United States,  Mountain View, 37.419205, -122.0574, 209.85.240.27, (None), 15, 2518, 0,
14, United States,  Mountain View, 37.419205, -122.0574, 209.85.247.4, (None), 16, 958, 0,
15, United States,  Mountain View, 37.419205, -122.0574, 216.239.59.1, (None), 15, 353, 0,
16, United States, Emeryville, 37.834198, -122.2897, 216.239.42.91, (None), 16, 1891, 50, 
17, United Kingdom, Emeryville, 51.4964, -0.122406006, 216.239.50.186, (None), 16, 1613, 8615,
18, United States, Mountain View, 37.419205, -122.0574, 108.170.226.2, (None), 15, 7264, 8643, 
19, United States, Mountain View, 37.419205, -122.0574, 108.170.252.65, (None), 32, 2264, 0, 
20, United States, Mountain View, 37.419205, -122.0574, 108.170.233.39, (None), 16, 5298, 0, 
21, United States, Mountain View, 37.419205, -122.0574, 74.125.11.27, (None), 15, 101, 0, 
