#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 15, 16, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 16, 0, 0, 
3, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 16, 16, 1738, 
4, India, New Delhi, 28.600006, 77.20001, 182.79.176.230, (None), 47, 1132, 0,
5, India, New Delhi, 28.600006, 77.20001, 182.79.153.143, (None), 31, 156, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.175.212, (None), 32, 343, 0,
7, India, New Delhi, 28.600006, 77.20001, 182.79.198.24, (None), 31, 188, 0,
8, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 31, 1964, 12418, 
9, United States, Mountain View, 37.419205, -122.0574, 108.170.253.121, (None), 31, 2178, 0, 
10, United States, Mountain View, 37.419205, -122.0574, 216.239.63.213, (None), 62, 1266, 0,
11, United States, Mountain View, 37.419205, -122.0574, 216.239.63.96, (None), 135, 143, 0,
12, United States, Mountain View, 37.419205, -122.0574, 108.170.236.124, (None), 78, 5300, 0, 
13, United States, Mountain View, 37.419205, -122.0574, 209.85.251.138, (None), 109, 1395, 0,
14, United States, Mountain View, 37.419205, -122.0574, 72.14.232.71, (None), 78, 172, 0, 
15, United States, Mountain View, 37.419205, -122.0574, 216.239.58.12, (None), 63, 357, 0,
16, United States, Mountain View, 37.419205, -122.0574, 108.170.252.65, (None), 62, 2595, 0, 
17, United States, Mountain View, 37.419205, -122.0574, 209.85.252.215, (None), 1, 690, 0,
18, United States, Mountain View, 37.419205, -122.0574, 108.170.227.111, (None), 16, 5307, 0, 
19, United States, Mountain View, 37.419205, -122.0574, 173.194.187.231, (None), 16, 1090, 0, 
