#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 16, 16, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 31, 0, 0, 
3, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 157, 1520, 1738, 
4, India, New Delhi, 28.600006, 77.20001, 182.79.176.230, (None), 17, 672, 0,
5, India, New Delhi, 28.600006, 77.20001, 182.79.205.86, (None), 31, 391, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.175.234, (None), 31, 297, 0,
7, India, New Delhi, 28.600006, 77.20001, 182.79.198.24, (None), 31, 326, 0,
8, United States, Mountain View, 37.419205, -122.0574, 108.170.253.122, (None), 16, 698, 12418, 
9, United States, Mountain View, 37.419205, -122.0574, 216.239.63.211, (None), 62, 333, 0,
10, United States, Mountain View, 37.419205, -122.0574, 108.170.236.124, (None), 63, 5313, 0, 
11, United States, Mountain View, 37.419205, -122.0574, 209.85.251.138, (None), 261, 1990, 0,
12, United States, Mountain View, 37.419205, -122.0574, 72.14.232.71, (None), 78, 5034, 0, 
13, United States, Mountain View, 37.419205, -122.0574, 209.85.251.138, (None), 15, 16, 0,
14, United States, Mountain View, 37.419205, -122.0574, 209.85.249.61, (None), 47, 1386, 0,
15, United States, Mountain View, 37.419205, -122.0574, 216.239.58.255, (None), 0, 2096, 0,
16, United States, Mountain View, 37.419205, -122.0574, 209.85.253.184, (None), 16, 1290, 0,
17, United States, Mountain View, 37.419205, -122.0574, 108.170.252.65, (None), 16, 1726, 0, 
18, United States, Mountain View, 37.419205, -122.0574, 209.85.240.233, (None), 16, 2030, 0,
19, United States, Mountain View, 37.419205, -122.0574, 173.194.188.7, (None), 2, 1569, 0, 
