#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 15, 16, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 16, 0, 0, 
3, India, Bangalore, 12.983307, 77.58331, 122.166.33.17, abts-kk-static-017.33.166.122.airtelbroadband.in, 31, 781, 0, 
4, India, New Delhi, 28.600006, 77.20001, 125.21.167.85, (None), 31, 31, 1738, 
5, India, New Delhi, 28.600006, 77.20001, 182.79.190.96, (None), 27, 344, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.175.98, (None), 31, 1582, 0,
7, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 32, 1019, 12418, 
8, United States, Alameda, 37.7735, -122.2788, 74.125.242.147, (None), 32, 899, 44, 
9, United States, Alameda, 37.7735, -122.2788, 216.239.48.227, (None), 77, 1837, 0,
10, United States, Alameda, 37.7735, -122.2788, 209.85.248.5, (None), 47, 1300, 0,
11, United States, Alameda, 37.7735, -122.2788, 209.85.248.221, (None), 16, 564, 0,
12, United States, Alameda, 37.7735, -122.2788, 209.85.250.11, (None), 10, 912, 0,
13, United States, Mountain View, 37.419205, -122.0574, 72.14.239.208, (None), 4, 2270, 44, 
14, United States, Mountain View, 37.419205, -122.0574, 216.239.57.197, (None), 2, 1745, 0,
15, United States, Emeryville, 37.834198, -122.2897, 216.239.42.59, (None), 2, 419, 50, 
16, United States, Emeryville, 37.834198, -122.2897, 209.85.252.148, (None), 2, 1627, 0,
17, United States, Emeryville, 37.834198, -122.2897, 209.85.241.230, (None), 27, 607, 0,
18, United States, Mountain View, 37.419205, -122.0574, 108.170.251.193, (None), 5, 2395, 50, 
19, United States, Alameda, 37.7735, -122.2788, 74.125.252.149, (None), 1, 151, 44, 
20, United States, Mountain View, 37.419205, -122.0574, 74.125.173.134, (None), 49, 1217, 44, 
