#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 15, 16, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 16, 15, 0, 
3, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 16, 16, 1738, 
4, India, New Delhi, 28.600006, 77.20001, 182.79.255.197, (None), 31, 666, 0,
5, India, New Delhi, 28.600006, 77.20001, 182.79.153.141, (None), 31, 187, 0,
6, India, New Delhi, 28.600006, 77.20001, 125.21.167.119, (None), 31, 1845, 0, 
7, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 47, 585, 12418, 
8, United States, Mountain View, 37.419205, -122.0574, 108.170.253.106, (None), 63, 192, 0, 
9, United States, Mountain View, 37.419205, -122.0574, 216.239.48.227, (None), 58, 609, 0,
10, United States, Mountain View, 37.419205, -122.0574, 209.85.248.5, (None), 125, 2551, 0,
11, United States, Mountain View, 37.419205, -122.0574, 209.85.248.221, (None), 78, 109, 0,
12, United States, Mountain View, 37.419205, -122.0574, 72.14.239.208, (None), 94, 406, 0, 
13, United States, Mountain View, 37.419205, -122.0574, 216.239.57.197, (None), 16, 2080, 0,
14, United States, Emeryville, 37.834198, -122.2897, 216.239.42.59, (None), 2, 548, 50, 
15, United States, Emeryville, 37.834198, -122.2897, 209.85.252.148, (None), 16, 2139, 0,
16, United States, Emeryville, 37.834198, -122.2897, 209.85.241.230, (None), 31, 450, 0,
17, United States, Mountain View, 37.419205, -122.0574, 108.170.251.193, (None), 16, 1495, 50,
18, United States, Mountain View, 37.419205, -122.0574, 209.85.240.167, (None), 16, 1306, 0,
19, United States, Mountain View, 37.419205, -122.0574, 173.194.188.201, (None), 15, 156, 0, 
