#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 47, 125, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 79, 860, 0, 
3, India, Bangalore, 12.983307, 77.58331, 122.166.33.17, abts-kk-static-017.33.166.122.airtelbroadband.in, 16, 5465, 0, 
4, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 31, 1069, 1738, 
5, India, New Delhi, 28.600006, 77.20001, 182.79.176.230, (None), 47, 833, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.153.141, (None), 156, 2318, 0,
7, India, New Delhi, 28.600006, 77.20001, 182.79.198.24, (None), 46, 1143, 0,
8, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 15, 360, 12418, 
9, United States, Mountain View, 37.419205, -122.0574, 108.170.253.122, (None), 32, 1549, 0, 
10, United States, Mountain View, 37.419205, -122.0574, 209.85.248.251, (None), 78, 937, 0,
11, United States, Mountain View, 37.419205, -122.0574, 108.170.235.220, (None), 78, 5306, 0, 
12, United States, Mountain View, 37.419205, -122.0574, 108.170.236.232, (None), 270, 5393, 0, 
13, United States, Emeryville, 37.834198, -122.2897, 216.239.43.220, (None), 78, 1486, 50, 
14, United States, Emeryville, 37.834198, -122.2897, 209.85.247.4, (None), 31, 224, 0,
15, United States, Emeryville, 37.834198, -122.2897, 209.85.252.95, (None), 36, 2319, 0,
16, United States, Mountain View, 37.419205, -122.0574, 108.170.236.248, (None), 47, 5306, 50, 
17, United States, Mountain View, 37.419205, -122.0574, 108.170.251.129, (None), 0, 297, 0, 
18, United States, Mountain View, 37.419205, -122.0574, 173.194.164.139, (None), 63, 98, 0, 
