#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 16, 15, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 15, 0, 0, 
3, India, Bangalore, 12.983307, 77.58331, 122.166.33.17, abts-kk-static-017.33.166.122.airtelbroadband.in, 15, 9, 0, 
4, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 15, 32, 1738,
5, India, New Delhi, 28.600006, 77.20001, 182.79.255.189, (None), 31, 422, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.153.139, (None), 31, 1508, 0,
7, India, New Delhi, 28.600006, 77.20001, 182.79.205.105, (None), 18, 463, 0,
8, India, New Delhi, 28.600006, 77.20001, 182.79.198.0, (None), 31, 1061, 0,
9, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 32, 1926, 12418, 
10, United States, Alameda, 37.7735, -122.2788, 74.125.242.131, (None), 18, 187, 44, 
11, United States, Alameda, 37.7735, -122.2788, 216.239.63.213, (None), 62, 1905, 0,
12, United States, Mountain View, 37.419205, -122.0574, 108.170.236.124, (None), 79, 5132, 44, 
13, United States, Mountain View, 37.419205, -122.0574, 216.239.54.52, (None), 63, 1598, 0,
14, United States, Mountain View, 37.419205, -122.0574, 108.170.236.124, (None), 16, 5057, 0, 
15, United States, Mountain View, 37.419205, -122.0574, 209.85.251.138, (None), 16, 1858, 0,
16, United States, Mountain View, 37.419205, -122.0574, 72.14.232.71, (None), 16, 218, 0, 
17, United States, Mountain View, 37.419205, -122.0574, 216.239.58.255, (None), 94, 1277, 0,
18, United States, Mountain View, 37.419205, -122.0574, 209.85.253.184, (None), 47, 2406, 0,
19, United States, Mountain View, 37.419205, -122.0574, 108.170.228.8, (None), 0, 5311, 0, 
20, United States, Mountain View, 37.419205, -122.0574, 108.170.251.129, (None), 15, 1659, 0, 
21, United States, Mountain View, 37.419205, -122.0574, 173.194.151.89, (None), 15, 94, 0, 
