#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 15, 32, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 15, 16, 0, 
3, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 16, 1753, 1738, 
4, India, New Delhi, 28.600006, 77.20001, 182.79.176.234, (None), 31, 1047, 0,
5, India, New Delhi, 28.600006, 77.20001, 182.79.175.72, (None), 31, 516, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.198.2, (None), 31, 282, 0,
7, United States, Alameda, 37.7735, -122.2788, 74.125.242.147, (None), 31, 141, 12374, 
8, United States, Alameda, 37.7735, -122.2788, 216.239.63.213, (None), 62, 547, 0,
9, United States, Mountain View, 37.419205, -122.0574, 108.170.236.124, (None), 109, 5312, 44, 
10, United States, Mountain View, 37.419205, -122.0574, 216.239.54.52, (None), 109, 691, 0,
11, United States, Mountain View, 37.419205, -122.0574, 209.85.251.138, (None), 79, 1846, 0,
12, United States, Mountain View, 37.419205, -122.0574, 209.85.249.61, (None), 63, 1422, 0,
13, United States, Mountain View, 37.419205, -122.0574, 216.239.58.255, (None), 15, 706, 0,
14, United States, Mountain View, 37.419205, -122.0574, 209.85.253.184, (None), 16, 2347, 0,
15, United States, Mountain View, 37.419205, -122.0574, 108.170.228.8, (None), 1, 5296, 0, 
16, United States, Mountain View, 37.419205, -122.0574, 108.170.251.129, (None), 16, 1750, 0, 
17, United States, Mountain View, 37.419205, -122.0574, 108.170.227.213, (None), 16, 5281, 0, 
18, United States, Mountain View, 37.419205, -122.0574, 173.194.187.198, (None), 15, 141, 0, 
