#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 16, 16, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 16, 0, 0, 
3, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 31, 31, 1738, 
4, India, New Delhi, 28.600006, 77.20001, 182.79.176.234, (None), 32, 374, 0,
5, India, New Delhi, 28.600006, 77.20001, 182.79.153.139, (None), 31, 234, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.175.94, (None), 31, 1361, 0,
7, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 23, 156, 12418, 
8, United States, Alameda, 37.7735, -122.2788, 74.125.242.146, (None), 47, 140, 44, 
9, United States, Alameda, 37.7735, -122.2788, 209.85.248.251, (None), 63, 1267, 0,
10, United States, Mountain View, 37.419205, -122.0574, 66.249.94.74, (None), 156, 1211, 44, 
11, United States, Mountain View, 37.419205, -122.0574, 108.170.235.220, (None), 63, 5282, 0, 
12, United States, Emeryville, 37.834198, -122.2897, 216.239.43.220, (None), 66, 1448, 50, 
13, United States, Emeryville, 37.834198, -122.2897, 209.85.252.95, (None), 63, 556, 0,
14, United States, Emeryville, 37.834198, -122.2897, 216.239.59.1, (None), 16, 1880, 0,
15, United Kingdom, London, 51.4964, -0.122406006, 216.239.50.186, (None), 16, 2026, 8615,
16, United States, Mountain View, 37.419205, -122.0574, 108.170.236.248, (None), 15, 5309, 8643, 
17, United States, Mountain View, 37.419205, -122.0574, 108.170.252.1, (None), 16, 2272, 0, 
18, United States, Mountain View, 37.419205, -122.0574, 108.170.236.83, (None), 16, 5295, 0, 
19, United States, Mountain View, 37.419205, -122.0574, 173.194.164.103, (None), 16, 138, 0, 
