#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 16, 15, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 15, 4, 0, 
3, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 442, 2520, 1738, 
4, India, New Delhi, 28.600006, 77.20001, 182.79.205.77, (None), 16, 129, 0,
5, India, New Delhi, 28.600006, 77.20001, 182.79.190.98, (None), 47, 312, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.191.220, (None), 31, 266, 0,
7, India, New Delhi, 28.600006, 77.20001, 182.79.198.5, (None), 31, 1254, 0,
8, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 31, 1775, 12418, 
9, United States, Mountain View, 37.419205, -122.0574, 108.170.253.105, (None), 46, 2166, 0, 
10, United States, Mountain View, 37.419205, -122.0574, 216.239.63.211, (None), 31, 2155, 0,
11, United States, Mountain View, 37.419205, -122.0574, 108.170.236.124, (None), 68, 5291, 0, 
12, United States, Mountain View, 37.419205, -122.0574, 209.85.251.138, (None), 297, 2273, 0,
13, United States, Mountain View, 37.419205, -122.0574, 216.239.58.255, (None), 109, 2643, 0,
14, United States, Mountain View, 37.419205, -122.0574, 209.85.249.61, (None), 110, 479, 0,
15, United States, Mountain View, 37.419205, -122.0574, 209.85.253.184, (None), 47, 1175, 0,
16, United States, Mountain View, 37.419205, -122.0574, 209.85.252.215, (None), 0, 1761, 0,
17, United States, Mountain View, 37.419205, -122.0574, 108.170.251.193, (None), 15, 2148, 0, 
18, United States, Mountain View, 37.419205, -122.0574, 173.194.164.183, (None), 16, 139, 0, 
